test_labels,pred_labels,accuracy,loss_hist
1,1,0.81,22.558128450408958
0,0,0.81,1.187931999292597
9,9,0.81,0.965094499146733
1,1,0.81,0.845095650479765
6,6,0.81,0.7740949416043089
6,6,0.81,0.7337594828299615
6,6,0.81,0.763009568656217
6,0,0.81,0.7546630401628974
8,8,0.81,0.6267580196558473
0,0,0.81,0.6204383874363676
0,2,0.81,0.5968862812277961
6,4,0.81,0.6487068472464713
9,9,0.81,0.5722098657675958
9,9,0.81,0.5722052700927365
8,8,0.81,0.669854473135617
0,6,0.81,0.5432254178860877
9,9,0.81,0.5335299800216277
6,0,0.81,0.519842599804332
2,2,0.81,0.5850669139036271
3,3,0.81,0.6934963729095764
3,3,0.81,0.49367828466561214
3,3,0.81,0.5556548965636758
6,6,0.81,0.5094698846224847
7,7,0.81,0.4862834212822698
6,0,0.81,0.5569383502056031
1,1,0.81,0.5621846797910625
3,3,0.81,0.5632232500941872
2,2,0.81,0.5174210915742851
9,9,0.81,0.43868718432470566
2,4,0.81,0.44756260859999525
6,6,0.81,0.5155037507033063
1,1,0.81,0.43559444943544967
6,6,0.81,0.5716485373358026
3,3,0.81,0.47644334186712367
2,2,0.81,0.46375188609345336
5,5,0.81,0.4757816307488554
3,3,0.81,0.43122270267411644
0,0,0.81,0.48761338815382277
4,4,0.81,0.4679777209751184
3,2,0.81,0.42670232994697016
2,2,0.81,0.4786963841709922
1,1,0.81,0.4868370501108225
6,2,0.81,0.4164724859591673
3,3,0.81,0.4106797135814977
8,8,0.81,0.4495206229377707
7,7,0.81,0.5712531183680063
3,3,0.81,0.5580836086652413
1,1,0.81,0.40047357727317995
4,4,0.81,0.47129116102244356
9,9,0.81,0.4543668750740291
6,4,0.81,0.3876114918344449
5,5,0.81,
9,9,0.81,
0,0,0.81,
0,0,0.81,
0,0,0.81,
7,7,0.81,
8,8,0.81,
7,7,0.81,
5,5,0.81,
5,7,0.81,
2,2,0.81,
4,4,0.81,
7,7,0.81,
1,1,0.81,
7,7,0.81,
0,0,0.81,
6,0,0.81,
6,6,0.81,
8,8,0.81,
5,5,0.81,
0,0,0.81,
3,3,0.81,
7,7,0.81,
7,7,0.81,
7,7,0.81,
4,4,0.81,
5,9,0.81,
3,6,0.81,
4,6,0.81,
1,1,0.81,
0,0,0.81,
8,8,0.81,
9,9,0.81,
7,7,0.81,
2,4,0.81,
4,4,0.81,
8,8,0.81,
7,7,0.81,
7,7,0.81,
3,3,0.81,
3,3,0.81,
9,9,0.81,
2,2,0.81,
2,2,0.81,
8,8,0.81,
4,2,0.81,
4,2,0.81,
8,8,0.81,
6,6,0.81,
7,7,0.81,
5,5,0.81,
3,3,0.81,
1,1,0.81,
9,9,0.81,
1,1,0.81,
8,8,0.81,
6,6,0.81,
6,6,0.81,
6,6,0.81,
7,7,0.81,
0,0,0.81,
5,5,0.81,
3,4,0.81,
7,7,0.81,
6,6,0.81,
8,8,0.81,
8,8,0.81,
9,9,0.81,
5,9,0.81,
5,5,0.81,
9,9,0.81,
4,4,0.81,
8,8,0.81,
3,6,0.81,
4,4,0.81,
4,6,0.81,
7,7,0.81,
0,6,0.81,
1,1,0.81,
8,8,0.81,
2,2,0.81,
1,1,0.81,
5,5,0.81,
0,3,0.81,
8,8,0.81,
5,5,0.81,
5,5,0.81,
5,5,0.81,
8,5,0.81,
1,1,0.81,
4,4,0.81,
5,5,0.81,
6,6,0.81,
9,9,0.81,
8,8,0.81,
8,2,0.81,
7,7,0.81,
5,7,0.81,
3,1,0.81,
7,7,0.81,
8,8,0.81,
6,6,0.81,
6,4,0.81,
6,0,0.81,
8,8,0.81,
1,1,0.81,
6,0,0.81,
0,0,0.81,
1,1,0.81,
4,4,0.81,
7,7,0.81,
6,0,0.81,
1,1,0.81,
8,8,0.81,
1,1,0.81,
2,2,0.81,
9,9,0.81,
4,4,0.81,
2,0,0.81,
2,2,0.81,
7,7,0.81,
5,5,0.81,
7,7,0.81,
6,0,0.81,
6,3,0.81,
9,9,0.81,
1,1,0.81,
6,2,0.81,
9,9,0.81,
7,7,0.81,
6,2,0.81,
7,7,0.81,
0,0,0.81,
8,8,0.81,
2,2,0.81,
3,3,0.81,
4,4,0.81,
1,1,0.81,
1,1,0.81,
2,2,0.81,
0,0,0.81,
2,2,0.81,
9,9,0.81,
0,0,0.81,
4,4,0.81,
4,4,0.81,
2,2,0.81,
8,8,0.81,
6,1,0.81,
6,6,0.81,
0,0,0.81,
7,7,0.81,
1,1,0.81,
6,6,0.81,
4,4,0.81,
4,4,0.81,
0,0,0.81,
1,1,0.81,
9,9,0.81,
6,2,0.81,
4,4,0.81,
9,9,0.81,
9,9,0.81,
3,3,0.81,
1,1,0.81,
9,9,0.81,
4,4,0.81,
5,5,0.81,
3,3,0.81,
0,0,0.81,
0,0,0.81,
8,8,0.81,
8,8,0.81,
8,8,0.81,
2,2,0.81,
7,7,0.81,
5,5,0.81,
0,0,0.81,
0,0,0.81,
9,9,0.81,
2,4,0.81,
3,6,0.81,
6,0,0.81,
0,0,0.81,
4,4,0.81,
3,3,0.81,
7,5,0.81,
7,7,0.81,
1,1,0.81,
1,1,0.81,
6,2,0.81,
3,3,0.81,
2,2,0.81,
9,9,0.81,
7,7,0.81,
7,7,0.81,
5,5,0.81,
6,6,0.81,
8,8,0.81,
8,8,0.81,
6,2,0.81,
0,0,0.81,
4,4,0.81,
2,4,0.81,
2,2,0.81,
8,8,0.81,
5,5,0.81,
7,7,0.81,
9,7,0.81,
6,6,0.81,
7,7,0.81,
2,2,0.81,
5,9,0.81,
4,6,0.81,
8,8,0.81,
