test_labels,pred_labels,accuracy,loss_hist
1,1,0.818,14.17815420765846
0,0,0.818,1.2117654035932195
9,9,0.818,1.0240842645978392
1,1,0.818,0.8840431169646359
6,6,0.818,0.8287352432461084
6,6,0.818,0.8018109279742858
6,6,0.818,0.761666963687486
6,0,0.818,0.7031235923970678
8,8,0.818,0.7145337806377057
0,0,0.818,0.6490159189347078
0,4,0.818,0.6716326616952676
6,4,0.818,0.5842754399773508
9,9,0.818,0.6521476298818916
9,9,0.818,0.5564381324045721
8,8,0.818,0.5803400578403695
0,0,0.818,0.5538646453558579
9,9,0.818,0.5189311141683627
6,0,0.818,0.5787559458595638
2,2,0.818,0.5101053886681616
3,3,0.818,0.5428824191133186
3,3,0.818,0.5157432458245688
3,3,0.818,0.4800464668065022
6,4,0.818,0.5330140571084756
7,7,0.818,0.5270200829201878
6,0,0.818,0.47686937001090446
1,1,0.818,0.48345887932389886
3,3,0.818,0.5330533508535592
2,2,0.818,0.45042353920023925
9,9,0.818,0.49628372764190837
2,4,0.818,0.467704813662681
6,2,0.818,0.45911394557730345
1,1,0.818,0.494521767288789
6,6,0.818,0.45903397428554454
3,3,0.818,0.4888463940812841
2,2,0.818,0.4524283666269432
5,5,0.818,0.5184047545292275
3,3,0.818,0.4678166726686375
0,0,0.818,0.4177845198148707
4,4,0.818,0.46282080359438055
3,3,0.818,0.5040548840552967
2,2,0.818,0.4445170338005126
1,1,0.818,0.4847805887566583
6,2,0.818,0.5286172991179209
3,3,0.818,0.42583418457897376
8,8,0.818,0.4271648583483938
7,7,0.818,0.4275571761207651
3,3,0.818,0.4241851676523849
1,1,0.818,0.5649229531178492
4,4,0.818,0.4423633243178487
9,9,0.818,0.4238857937351781
6,4,0.818,0.4568898371445704
5,5,0.818,0.40967767565028507
9,9,0.818,0.38865604294286915
0,0,0.818,0.4124786815217569
0,6,0.818,0.43452818832354606
0,0,0.818,0.4316661050839906
7,7,0.818,0.3926944294038058
8,8,0.818,0.41566757273095956
7,7,0.818,0.4320223507097939
5,5,0.818,0.47987074323880685
5,7,0.818,0.4155227426902071
2,2,0.818,0.4741001654131917
4,4,0.818,0.4181134545676467
