test_labels,pred_labels,accuracy,loss_hist
1,1,0.804,13.310789779530747
0,0,0.804,1.2665411422199047
9,9,0.804,1.008575998295311
1,1,0.804,0.8977220171794834
6,6,0.804,0.8227515799784424
6,6,0.804,0.772593242667145
6,6,0.804,0.6933846920730911
6,0,0.804,0.6620907150487252
8,8,0.804,0.6732747108052549
0,0,0.804,0.6258450964393492
0,2,0.804,0.6399668026622919
6,6,0.804,0.6305716364555106
9,9,0.804,0.6270294992148264
9,9,0.804,0.5663378549249023
8,8,0.804,0.8340217029119072
0,0,0.804,0.5317025494933499
9,9,0.804,0.5856807440583314
6,0,0.804,0.5488840153449074
2,2,0.804,0.5770647107036656
3,3,0.804,0.5004743783516036
3,3,0.804,0.5830262571679373
3,3,0.804,0.4917539143986437
6,6,0.804,0.5248580646412363
7,7,0.804,0.4790128724449879
6,0,0.804,0.4901097874472177
1,1,0.804,0.5173651138355049
3,3,0.804,0.46042837690193716
2,2,0.804,0.5378352834969643
9,9,0.804,0.49468069523433833
2,2,0.804,0.4342415355470368
6,2,0.804,0.43988520587024466
1,1,0.804,0.49949539192770037
6,0,0.804,0.46885035919186996
3,3,0.804,0.44477747502548326
2,2,0.804,0.49794358592816446
5,5,0.804,0.47012977928544847
3,3,0.804,0.4248831368124556
0,0,0.804,0.5076401873452331
4,4,0.804,0.4843463911877668
3,0,0.804,0.431291993731768
2,0,0.804,0.44917776197065845
1,1,0.804,0.4629766008974254
6,2,0.804,0.4225735632859868
3,3,0.804,0.424323221622093
8,8,0.804,0.435236581014545
7,7,0.804,0.4031816016095009
3,3,0.804,0.43608144037095703
1,1,0.804,0.5278623578170516
4,8,0.804,0.46772086503393234
9,9,0.804,0.42872043139890675
6,6,0.804,0.3993053346746693
5,5,0.804,0.40547115931875166
9,9,0.804,0.4288666152820748
0,0,0.804,0.42552770336598356
0,0,0.804,0.3993191895022174
0,0,0.804,0.38958806709643573
7,7,0.804,0.4094977433157871
8,8,0.804,0.4116740077395165
7,7,0.804,0.3960152718730492
5,5,0.804,0.43283549328672405
5,7,0.804,0.3879492176630372
2,2,0.804,0.4132995609724741
4,4,0.804,0.3998296181226388
7,7,0.804,0.4226691439921942
1,1,0.804,0.4076590518697711
7,7,0.804,0.3842753405924216
0,0,0.804,0.3947239120015888
6,0,0.804,0.5186307037277262
6,6,0.804,0.44636088237812355
8,8,0.804,0.4194335515946389
5,5,0.804,0.38600418221585286
0,0,0.804,0.383082036184737
3,3,0.804,0.3841277412763999
7,7,0.804,0.384485380041994
7,7,0.804,0.5756361795192592
7,7,0.804,0.4099561866188287
4,4,0.804,0.42064662452899754
5,7,0.804,0.39569645868154474
3,6,0.804,0.39416650559452965
4,6,0.804,0.4996871855435324
1,1,0.804,0.4559903007946929
0,0,0.804,0.3912981558797791
8,8,0.804,0.37887586716170835
9,9,0.804,0.4431290948257312
7,7,0.804,0.4036622110545186
2,2,0.804,0.3992070044854389
4,4,0.804,0.4140236783129429
8,8,0.804,0.3853613785486769
7,7,0.804,0.3817002491664559
7,7,0.804,0.3907163692827919
3,3,0.804,0.42498866641116695
3,3,0.804,0.362224538165507
9,9,0.804,0.47973682243157645
2,2,0.804,0.37608007818554556
2,2,0.804,0.367306345173674
8,8,0.804,0.3653889583559935
4,2,0.804,0.46377609325988217
4,2,0.804,0.417985715799083
8,8,0.804,0.363689184121889
6,6,0.804,0.3869390484702504
7,7,0.804,0.42259028565789997
5,5,0.804,
3,3,0.804,
1,1,0.804,
9,9,0.804,
1,1,0.804,
