test_labels,pred_labels,accuracy,loss_hist
1,1,0.7265,22.032708086415187
0,0,0.7265,2.318417457278603
9,9,0.7265,1.81857916510769
1,1,0.7265,1.598236347622494
6,4,0.7265,1.4511837701668993
6,4,0.7265,1.3588189581620158
6,6,0.7265,1.2759119426510699
6,0,0.7265,1.2203327452540482
8,8,0.7265,1.1913668849642942
0,0,0.7265,1.1316180554200912
0,4,0.7265,1.1008224890180456
6,4,0.7265,
9,9,0.7265,
9,9,0.7265,
8,8,0.7265,
0,6,0.7265,
9,9,0.7265,
6,0,0.7265,
2,6,0.7265,
3,3,0.7265,
3,3,0.7265,
3,3,0.7265,
6,4,0.7265,
7,7,0.7265,
6,0,0.7265,
1,1,0.7265,
3,3,0.7265,
2,2,0.7265,
9,9,0.7265,
2,4,0.7265,
6,6,0.7265,
1,3,0.7265,
6,6,0.7265,
3,3,0.7265,
2,2,0.7265,
5,9,0.7265,
3,3,0.7265,
0,0,0.7265,
4,4,0.7265,
3,2,0.7265,
2,2,0.7265,
1,1,0.7265,
6,2,0.7265,
3,3,0.7265,
8,8,0.7265,
7,7,0.7265,
3,3,0.7265,
1,1,0.7265,
4,4,0.7265,
9,9,0.7265,
6,4,0.7265,
5,5,0.7265,
9,9,0.7265,
0,6,0.7265,
0,0,0.7265,
0,0,0.7265,
7,5,0.7265,
8,8,0.7265,
7,7,0.7265,
5,7,0.7265,
5,7,0.7265,
2,2,0.7265,
4,4,0.7265,
7,7,0.7265,
1,1,0.7265,
7,7,0.7265,
0,0,0.7265,
6,0,0.7265,
6,2,0.7265,
8,8,0.7265,
5,5,0.7265,
0,0,0.7265,
3,3,0.7265,
7,7,0.7265,
7,7,0.7265,
7,7,0.7265,
4,4,0.7265,
5,7,0.7265,
3,3,0.7265,
4,4,0.7265,
1,1,0.7265,
0,0,0.7265,
8,8,0.7265,
9,9,0.7265,
7,9,0.7265,
2,2,0.7265,
4,4,0.7265,
8,8,0.7265,
7,7,0.7265,
7,7,0.7265,
3,3,0.7265,
3,3,0.7265,
9,9,0.7265,
2,2,0.7265,
2,2,0.7265,
8,8,0.7265,
4,2,0.7265,
4,2,0.7265,
8,8,0.7265,
6,6,0.7265,
7,7,0.7265,
5,5,0.7265,
3,3,0.7265,
1,1,0.7265,
9,9,0.7265,
1,1,0.7265,
8,8,0.7265,
6,2,0.7265,
6,6,0.7265,
6,4,0.7265,
7,7,0.7265,
0,0,0.7265,
5,5,0.7265,
3,4,0.7265,
7,7,0.7265,
6,6,0.7265,
8,8,0.7265,
8,8,0.7265,
9,9,0.7265,
5,9,0.7265,
5,5,0.7265,
9,9,0.7265,
4,4,0.7265,
8,8,0.7265,
3,9,0.7265,
4,4,0.7265,
4,4,0.7265,
7,7,0.7265,
0,7,0.7265,
1,1,0.7265,
8,8,0.7265,
2,2,0.7265,
1,1,0.7265,
5,8,0.7265,
0,3,0.7265,
8,8,0.7265,
5,9,0.7265,
5,5,0.7265,
5,5,0.7265,
8,8,0.7265,
1,1,0.7265,
4,6,0.7265,
5,5,0.7265,
6,6,0.7265,
9,9,0.7265,
8,8,0.7265,
8,8,0.7265,
7,7,0.7265,
5,5,0.7265,
3,3,0.7265,
7,7,0.7265,
8,8,0.7265,
6,6,0.7265,
6,4,0.7265,
6,2,0.7265,
8,8,0.7265,
1,1,0.7265,
6,0,0.7265,
0,6,0.7265,
1,1,0.7265,
4,4,0.7265,
7,9,0.7265,
6,3,0.7265,
1,1,0.7265,
8,8,0.7265,
1,1,0.7265,
2,2,0.7265,
9,9,0.7265,
4,2,0.7265,
2,8,0.7265,
2,2,0.7265,
7,7,0.7265,
5,5,0.7265,
7,5,0.7265,
6,0,0.7265,
6,0,0.7265,
9,9,0.7265,
1,1,0.7265,
6,6,0.7265,
9,9,0.7265,
7,5,0.7265,
6,2,0.7265,
7,7,0.7265,
0,0,0.7265,
8,8,0.7265,
2,2,0.7265,
3,3,0.7265,
4,4,0.7265,
1,1,0.7265,
1,1,0.7265,
2,2,0.7265,
0,0,0.7265,
2,2,0.7265,
9,9,0.7265,
0,0,0.7265,
4,4,0.7265,
4,4,0.7265,
2,2,0.7265,
8,8,0.7265,
6,8,0.7265,
6,6,0.7265,
0,3,0.7265,
7,7,0.7265,
1,1,0.7265,
6,6,0.7265,
4,6,0.7265,
4,4,0.7265,
0,0,0.7265,
1,1,0.7265,
9,9,0.7265,
6,2,0.7265,
4,4,0.7265,
9,9,0.7265,
9,9,0.7265,
3,3,0.7265,
1,1,0.7265,
9,9,0.7265,
4,4,0.7265,
5,5,0.7265,
3,3,0.7265,
0,0,0.7265,
0,0,0.7265,
8,8,0.7265,
8,8,0.7265,
8,8,0.7265,
2,2,0.7265,
7,7,0.7265,
5,5,0.7265,
0,0,0.7265,
0,0,0.7265,
9,9,0.7265,
2,4,0.7265,
3,6,0.7265,
6,0,0.7265,
0,0,0.7265,
4,4,0.7265,
3,3,0.7265,
7,5,0.7265,
7,7,0.7265,
1,6,0.7265,
1,1,0.7265,
6,4,0.7265,
3,3,0.7265,
2,2,0.7265,
9,9,0.7265,
7,7,0.7265,
7,7,0.7265,
5,5,0.7265,
6,6,0.7265,
8,8,0.7265,
8,8,0.7265,
6,4,0.7265,
0,2,0.7265,
4,4,0.7265,
2,4,0.7265,
2,2,0.7265,
8,8,0.7265,
5,5,0.7265,
7,7,0.7265,
9,9,0.7265,
6,6,0.7265,
7,7,0.7265,
2,2,0.7265,
5,7,0.7265,
4,4,0.7265,
8,5,0.7265,
1,1,0.7265,
7,7,0.7265,
1,1,0.7265,
5,5,0.7265,
6,2,0.7265,
9,9,0.7265,
5,5,0.7265,
2,2,0.7265,
1,1,0.7265,
8,8,0.7265,
1,1,0.7265,
2,2,0.7265,
3,6,0.7265,
4,2,0.7265,
8,8,0.7265,
4,2,0.7265,
0,0,0.7265,
1,1,0.7265,
4,4,0.7265,
0,0,0.7265,
9,9,0.7265,
7,7,0.7265,
7,7,0.7265,
7,7,0.7265,
7,5,0.7265,
7,7,0.7265,
8,8,0.7265,
3,0,0.7265,
4,4,0.7265,
4,3,0.7265,
6,6,0.7265,
0,4,0.7265,
1,1,0.7265,
5,5,0.7265,
3,3,0.7265,
5,5,0.7265,
